locus_tag	ftype	length_bp	gene	EC_number	COG	product
AHECGBEH_01718	gene	606	rhlI			
AHECGBEH_01719	CDS	807	pheC			cyclohexadienyl dehydratase
AHECGBEH_01719	gene	807	pheC			
AHECGBEH_01720	CDS	861				hypothetical protein
AHECGBEH_01720	gene	861				
AHECGBEH_01721	CDS	900				chloramphenicol-sensitive protein RarD
AHECGBEH_01721	gene	900				
AHECGBEH_01722	CDS	597				hypothetical protein
AHECGBEH_01722	gene	597				
AHECGBEH_01723	CDS	1695		1.1.1.38		NAD-dependent malic enzyme
AHECGBEH_01723	gene	1695				
AHECGBEH_01724	CDS	459				hypothetical protein
AHECGBEH_01724	gene	459				
AHECGBEH_01725	CDS	543	yyaP		COG0262	putative protein YyaP
AHECGBEH_01725	gene	543	yyaP			
AHECGBEH_01726	CDS	1329	ybdG		COG0668	Miniconductance mechanosensitive channel YbdG
AHECGBEH_01726	gene	1329	ybdG			
AHECGBEH_01727	CDS	1368				major facilitator superfamily transporter
AHECGBEH_01727	gene	1368				
AHECGBEH_01728	CDS	1341				ATP-dependent RNA helicase
AHECGBEH_01728	gene	1341				
AHECGBEH_01729	CDS	1716				major facilitator superfamily transporter
AHECGBEH_01729	gene	1716				
AHECGBEH_01730	CDS	1326				hypothetical protein
AHECGBEH_01730	gene	1326				
AHECGBEH_01731	CDS	231				hypothetical protein
AHECGBEH_01731	gene	231				
AHECGBEH_01732	CDS	2757				sensor/response regulator hybrid protein
AHECGBEH_01732	gene	2757				
AHECGBEH_01733	CDS	1197				hypothetical protein
AHECGBEH_01733	gene	1197				
AHECGBEH_01734	CDS	1758				acetyltransferase
AHECGBEH_01734	gene	1758				
AHECGBEH_01735	CDS	1770				glutamine amidotransferase
AHECGBEH_01735	gene	1770				
AHECGBEH_01736	CDS	474				transcriptional regulator
AHECGBEH_01736	gene	474				
AHECGBEH_01737	CDS	753				hypothetical protein
AHECGBEH_01737	gene	753				
AHECGBEH_01738	CDS	1965				tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
AHECGBEH_01738	gene	1965				
AHECGBEH_01739	CDS	1491		2.7.4.-	COG2326	Polyphosphate:AMP phosphotransferase
AHECGBEH_01739	gene	1491				
AHECGBEH_01740	CDS	1185				acyl-CoA thiolase
AHECGBEH_01740	gene	1185				
AHECGBEH_01741	CDS	666				hypothetical protein
AHECGBEH_01741	gene	666				
AHECGBEH_01742	CDS	1572	mqoA	1.1.5.4		malate:quinone oxidoreductase
AHECGBEH_01742	gene	1572	mqoA			
AHECGBEH_01743	CDS	210				hypothetical protein
AHECGBEH_01743	gene	210				
AHECGBEH_01744	CDS	639				antioxidant protein
AHECGBEH_01744	gene	639				
AHECGBEH_01745	CDS	1002	ssuA_1			Putative aliphatic sulfonates-binding protein
AHECGBEH_01745	gene	1002	ssuA_1			
AHECGBEH_01746	CDS	825				ABC transporter permease
AHECGBEH_01746	gene	825				
AHECGBEH_01747	CDS	750				ABC transporter ATP-binding protein
AHECGBEH_01747	gene	750				
AHECGBEH_01748	CDS	594				NAD(P)H-dependent FMN reductase
AHECGBEH_01748	gene	594				
AHECGBEH_01749	CDS	972	ssuA_2			Putative aliphatic sulfonates-binding protein
AHECGBEH_01749	gene	972	ssuA_2			
AHECGBEH_01750	CDS	1149		1.14.14.5		alkanesulfonate monooxygenase
AHECGBEH_01750	gene	1149				
AHECGBEH_01751	CDS	789				ABC transporter permease
AHECGBEH_01751	gene	789				
AHECGBEH_01752	CDS	825				aliphatic sulfonates ABC transporter ATP-binding subunit
AHECGBEH_01752	gene	825				
AHECGBEH_01753	CDS	216				molybdopterin-binding protein
AHECGBEH_01753	gene	216				
AHECGBEH_01754	CDS	339				type III effector protein
AHECGBEH_01754	gene	339				
AHECGBEH_01755	CDS	312				hypothetical protein
AHECGBEH_01755	gene	312				
AHECGBEH_01756	CDS	372	folX			D-erythro-7,8-dihydroneopterin triphosphate 2'-epimerase
AHECGBEH_01756	gene	372	folX			
AHECGBEH_01757	CDS	561	folE1	3.5.4.16		GTP cyclohydrolase I
AHECGBEH_01757	gene	561	folE1			
AHECGBEH_01758	CDS	705	folM			short-chain dehydrogenase
AHECGBEH_01758	gene	705	folM			
AHECGBEH_01759	CDS	558				hypothetical protein
AHECGBEH_01759	gene	558				
AHECGBEH_01760	CDS	453				flavodoxin
AHECGBEH_01760	gene	453				
AHECGBEH_01761	CDS	1017				transposase
AHECGBEH_01761	gene	1017				
AHECGBEH_01762	CDS	894				transcriptional regulator
AHECGBEH_01762	gene	894				
AHECGBEH_01763	CDS	390	cidA_2			Holin-like protein CidA
AHECGBEH_01763	gene	390	cidA_2			
AHECGBEH_01764	CDS	687	yohK_2		COG1346	Inner membrane protein YohK
AHECGBEH_01764	gene	687	yohK_2			
AHECGBEH_01765	CDS	780				aldolase
AHECGBEH_01765	gene	780				
AHECGBEH_01766	CDS	897				epoxide hydrolase
AHECGBEH_01766	gene	897				
AHECGBEH_01767	CDS	294				hypothetical protein
AHECGBEH_01767	gene	294				
AHECGBEH_01768	CDS	912				short-chain dehydrogenase
AHECGBEH_01768	gene	912				
AHECGBEH_01769	CDS	771		4.2.1.17		enoyl-CoA hydratase
AHECGBEH_01769	gene	771				
AHECGBEH_01770	CDS	345				hypothetical protein
AHECGBEH_01770	gene	345				
AHECGBEH_01771	CDS	1407				oxidoreductase
AHECGBEH_01771	gene	1407				
AHECGBEH_01772	CDS	807				transcriptional regulator
AHECGBEH_01772	gene	807				
AHECGBEH_01773	CDS	1758	gbt_2			glycine betaine transmethylase
AHECGBEH_01773	gene	1758	gbt_2			
AHECGBEH_01774	CDS	1371				putative protein
AHECGBEH_01774	gene	1371				
AHECGBEH_01775	CDS	2484				transcriptional regulator
AHECGBEH_01775	gene	2484				
AHECGBEH_01776	CDS	813				hypothetical protein
AHECGBEH_01776	gene	813				
AHECGBEH_01777	CDS	1026	ldh			leucine dehydrogenase
AHECGBEH_01777	gene	1026	ldh			
AHECGBEH_01778	CDS	1098				pyruvate dehydrogenase E1 component subunit alpha
AHECGBEH_01778	gene	1098				
AHECGBEH_01779	CDS	1002				pyruvate dehydrogenase E1 component subunit beta
AHECGBEH_01779	gene	1002				
AHECGBEH_01780	CDS	1113				branched-chain alpha-keto acid dehydrogenase subunit E2
AHECGBEH_01780	gene	1113				
AHECGBEH_01781	CDS	399				hypothetical protein
AHECGBEH_01781	gene	399				
AHECGBEH_01782	CDS	585				hypothetical protein
AHECGBEH_01782	gene	585				
AHECGBEH_01783	CDS	267				hypothetical protein
AHECGBEH_01783	gene	267				
AHECGBEH_01784	CDS	270				hypothetical protein
AHECGBEH_01784	gene	270				
AHECGBEH_01785	CDS	219				hypothetical protein
AHECGBEH_01785	gene	219				
AHECGBEH_01786	CDS	516				ECF subfamily sigma-70 factor
AHECGBEH_01786	gene	516				
AHECGBEH_01787	CDS	987				transmembrane sensor
AHECGBEH_01787	gene	987				
AHECGBEH_01788	CDS	2676	hasR			heme uptake outer membrane receptor HasR
AHECGBEH_01788	gene	2676	hasR			
AHECGBEH_01789	CDS	618	hasAp			heme acquisition protein HasA
AHECGBEH_01789	gene	618	hasAp			
AHECGBEH_01790	CDS	1791	hasD			transporter HasD
AHECGBEH_01790	gene	1791	hasD			
AHECGBEH_01791	CDS	1332	hasE			metalloprotease secretion protein
AHECGBEH_01791	gene	1332	hasE			
AHECGBEH_01792	CDS	1356	aprF_1			alkaline protease secretion protein AprF
AHECGBEH_01792	gene	1356	aprF_1			
AHECGBEH_01793	CDS	288				hypothetical protein
AHECGBEH_01793	gene	288				
AHECGBEH_01794	CDS	486	psiE			Protein PsiE
AHECGBEH_01794	gene	486	psiE			
AHECGBEH_01795	CDS	972				secretion protein
AHECGBEH_01795	gene	972				
AHECGBEH_01796	CDS	1173				hypothetical protein
AHECGBEH_01796	gene	1173				
AHECGBEH_01797	CDS	1134				hypothetical protein
AHECGBEH_01797	gene	1134				
AHECGBEH_01798	CDS	342				hypothetical protein
AHECGBEH_01798	gene	342				
AHECGBEH_01799	CDS	927				transcriptional regulator
AHECGBEH_01799	gene	927				
AHECGBEH_01800	CDS	777	fpr			ferredoxin-NADP reductase
AHECGBEH_01800	gene	777	fpr			
AHECGBEH_01801	CDS	537	nosL			acessory protein NosL
AHECGBEH_01801	gene	537	nosL			
AHECGBEH_01802	CDS	828	nosY			membrane protein NosY
AHECGBEH_01802	gene	828	nosY			
AHECGBEH_01803	CDS	915	nosF			copper ABC transporter ATP-binding protein
AHECGBEH_01803	gene	915	nosF			
AHECGBEH_01804	CDS	1287	nosD			copper-binding periplasmic protein
AHECGBEH_01804	gene	1287	nosD			
AHECGBEH_01805	CDS	1911	nosZ			nitrous-oxide reductase
AHECGBEH_01805	gene	1911	nosZ			
AHECGBEH_01806	CDS	2148	nosR			regulatory protein NosR
AHECGBEH_01806	gene	2148	nosR			
AHECGBEH_01807	CDS	414				ring-cleaving dioxygenase
AHECGBEH_01807	gene	414				
AHECGBEH_01808	CDS	303	lsrG	5.3.1.32	COG1359	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase
AHECGBEH_01808	gene	303	lsrG			
AHECGBEH_01809	CDS	696				S-adenosylmethionine-dependent methyltransferase RcsF
AHECGBEH_01809	gene	696				
AHECGBEH_01810	CDS	771	rhlG			3-oxoacyl-ACP reductase
AHECGBEH_01810	gene	771	rhlG			
AHECGBEH_01811	CDS	366				hypothetical protein
AHECGBEH_01811	gene	366				
AHECGBEH_01812	CDS	327	amrZ			alginate and motility regulator Z
AHECGBEH_01812	gene	327	amrZ			
AHECGBEH_01813	CDS	837	phnC_2			phosphonate ABC transporter ATP-binding protein
AHECGBEH_01813	gene	837	phnC_2			
AHECGBEH_01814	CDS	1005				phosphonate ABC transporter substrate-binding protein
AHECGBEH_01814	gene	1005				
AHECGBEH_01815	CDS	795	phnE_2			phosphonate transporter PhnE
AHECGBEH_01815	gene	795	phnE_2			
AHECGBEH_01816	CDS	723				transcriptional regulator
AHECGBEH_01816	gene	723				
AHECGBEH_01817	CDS	459	phnG	2.7.8.37	COG3624	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG
AHECGBEH_01817	gene	459	phnG			
AHECGBEH_01818	CDS	630				carbon-phosphorus lyase complex subunit
AHECGBEH_01818	gene	630				
AHECGBEH_01819	CDS	1101	phnI	2.7.8.37	COG3626	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI
AHECGBEH_01819	gene	1101	phnI			
AHECGBEH_01820	CDS	885	phnJ	4.7.1.1	COG3627	Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase
AHECGBEH_01820	gene	885	phnJ			
AHECGBEH_01821	CDS	816				phosphonate C-P lyase system protein PhnK
AHECGBEH_01821	gene	816				
AHECGBEH_01822	CDS	717				ABC transporter ATP-binding protein
AHECGBEH_01822	gene	717				
AHECGBEH_01823	CDS	1164	phnM	3.6.1.63	COG3454	Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase
AHECGBEH_01823	gene	1164	phnM			
AHECGBEH_01824	CDS	558	phnN	2.7.4.23	COG3709	Ribose 1,5-bisphosphate phosphokinase PhnN
AHECGBEH_01824	gene	558	phnN			
AHECGBEH_01825	CDS	771				carbon-phosphorus lyase complex accessory protein
AHECGBEH_01825	gene	771				
AHECGBEH_01826	CDS	186				hypothetical protein
AHECGBEH_01826	gene	186				
AHECGBEH_01827	CDS	147				hypothetical protein
AHECGBEH_01827	gene	147				
AHECGBEH_01828	CDS	279				hypothetical protein
AHECGBEH_01828	gene	279				
AHECGBEH_01829	CDS	519				acetyltransferase
AHECGBEH_01829	gene	519				
AHECGBEH_01830	tRNA	77				tRNA-Arg(cct)
AHECGBEH_01830	gene	77				
AHECGBEH_01831	CDS	339				hypothetical protein
AHECGBEH_01831	gene	339				
AHECGBEH_01832	CDS	1041	amiE_2	3.5.1.4		acylamide amidohydrolase
AHECGBEH_01832	gene	1041	amiE_2			
AHECGBEH_01833	CDS	1116				chaperone
AHECGBEH_01833	gene	1116				
AHECGBEH_01834	CDS	1158	amiC_2			aliphatic amidase expression-regulating protein
AHECGBEH_01834	gene	1158	amiC_2			
AHECGBEH_01835	CDS	591	amiR			aliphatic amidase regulator
AHECGBEH_01835	gene	591	amiR			
AHECGBEH_01836	CDS	519				transporter protein AmiS
AHECGBEH_01836	gene	519				
AHECGBEH_01837	CDS	348	lecB			fucose-binding lectin PA-IIL
AHECGBEH_01837	gene	348	lecB			
AHECGBEH_01838	CDS	1059				secretion protein
AHECGBEH_01838	gene	1059				
AHECGBEH_01839	CDS	1029				hypothetical protein
AHECGBEH_01839	gene	1029				
AHECGBEH_01840	CDS	879				hypothetical protein
AHECGBEH_01840	gene	879				
AHECGBEH_01841	CDS	1347	dsdA	4.3.1.18		D-serine dehydratase
AHECGBEH_01841	gene	1347	dsdA			
AHECGBEH_01842	CDS	1344	spuB_2			glutamine synthetase
AHECGBEH_01842	gene	1344	spuB_2			
AHECGBEH_01843	CDS	1305				major facilitator superfamily transporter
AHECGBEH_01843	gene	1305				
AHECGBEH_01844	tRNA	94				tRNA-Arg(acg)
AHECGBEH_01844	gene	94				
AHECGBEH_01845	CDS	750	ycgR		COG5581	Flagellar brake protein YcgR
AHECGBEH_01845	gene	750	ycgR			
AHECGBEH_01846	CDS	471				hypothetical protein
AHECGBEH_01846	gene	471				
AHECGBEH_01847	CDS	324	flgM			protein FlgM
AHECGBEH_01847	gene	324	flgM			
AHECGBEH_01848	CDS	738				flagellar basal body P-ring biosynthesis protein FlgA
AHECGBEH_01848	gene	738				
AHECGBEH_01849	CDS	933				chemotaxis protein
AHECGBEH_01849	gene	933				
AHECGBEH_01850	CDS	825				chemotaxis protein methyltransferase
AHECGBEH_01850	gene	825				
AHECGBEH_01851	CDS	306				STAS-domain containing protein
AHECGBEH_01851	gene	306				
AHECGBEH_01852	CDS	1716				two-component response regulator
AHECGBEH_01852	gene	1716				
AHECGBEH_01853	CDS	351				hypothetical protein
AHECGBEH_01853	gene	351				
AHECGBEH_01854	CDS	2139	recQ			ATP-dependent DNA helicase RecQ
AHECGBEH_01854	gene	2139	recQ			
AHECGBEH_01855	CDS	1164				hypothetical protein
AHECGBEH_01855	gene	1164				
AHECGBEH_01856	CDS	1017				hypothetical protein
AHECGBEH_01856	gene	1017				
AHECGBEH_01857	CDS	435				transcriptional regulator
AHECGBEH_01857	gene	435				
AHECGBEH_01858	CDS	2052				hypothetical protein
AHECGBEH_01858	gene	2052				
AHECGBEH_01859	CDS	2187	plpD			patatin-like protein
AHECGBEH_01859	gene	2187	plpD			
AHECGBEH_01860	CDS	291				hypothetical protein
AHECGBEH_01860	gene	291				
AHECGBEH_01861	CDS	993	rfaD			ADP-L-glycero-D-mannoheptose-6-epimerase
AHECGBEH_01861	gene	993	rfaD			
AHECGBEH_01862	CDS	1167				major facilitator superfamily transporter
AHECGBEH_01862	gene	1167				
AHECGBEH_01863	CDS	813				hypothetical protein
AHECGBEH_01863	gene	813				
AHECGBEH_01864	CDS	240				acyl carrier protein
AHECGBEH_01864	gene	240				
AHECGBEH_01865	CDS	993	fabH2	2.3.1.180		3-oxoacyl-ACP synthase III
AHECGBEH_01865	gene	993	fabH2			
AHECGBEH_01866	CDS	426			COG3631	putative PhzA/B-like protein
AHECGBEH_01866	gene	426				
AHECGBEH_01867	CDS	1257				cytochrome P450
AHECGBEH_01867	gene	1257				
AHECGBEH_01868	CDS	915				short-chain dehydrogenase
AHECGBEH_01868	gene	915				
AHECGBEH_01869	CDS	1326				hypothetical protein
AHECGBEH_01869	gene	1326				
AHECGBEH_01870	CDS	1167				FAD-dependent monooxygenase
AHECGBEH_01870	gene	1167				
AHECGBEH_01871	CDS	7059				non-ribosomal peptide synthetase
AHECGBEH_01871	gene	7059				
AHECGBEH_01872	CDS	606				ATP-dependent Clp protease proteolytic subunit
AHECGBEH_01872	gene	606				
AHECGBEH_01873	CDS	888				hypothetical protein
AHECGBEH_01873	gene	888				
AHECGBEH_01874	CDS	1779				short-chain dehydrogenase
AHECGBEH_01874	gene	1779				
AHECGBEH_01875	CDS	876				hypothetical protein
AHECGBEH_01875	gene	876				
AHECGBEH_01876	CDS	813				hypothetical protein
AHECGBEH_01876	gene	813				
AHECGBEH_01877	CDS	915				transcriptional regulator
AHECGBEH_01877	gene	915				
AHECGBEH_01878	CDS	456				hypothetical protein
AHECGBEH_01878	gene	456				
AHECGBEH_01879	CDS	2079	plcN			non-hemolytic phospholipase C
AHECGBEH_01879	gene	2079	plcN			
AHECGBEH_01880	CDS	501				hypothetical protein
AHECGBEH_01880	gene	501				
AHECGBEH_01881	CDS	729				hypothetical protein
AHECGBEH_01881	gene	729				
AHECGBEH_01882	CDS	771				ABC transporter permease
AHECGBEH_01882	gene	771				
AHECGBEH_01883	CDS	834				phosphonates ABC transporter permease
AHECGBEH_01883	gene	834				
AHECGBEH_01884	CDS	804				phosphonates ABC transporter ATP-binding protein
AHECGBEH_01884	gene	804				
AHECGBEH_01885	CDS	858				phosphonate ABC transporter substrate-binding protein
AHECGBEH_01885	gene	858				
AHECGBEH_01886	CDS	891				3-hydroxyisobutyrate dehydrogenase
AHECGBEH_01886	gene	891				
AHECGBEH_01887	CDS	2181				signaling protein
AHECGBEH_01887	gene	2181				
AHECGBEH_01888	CDS	1656	eptA_1	2.7.-.-	COG2194	Phosphoethanolamine transferase EptA
AHECGBEH_01888	gene	1656	eptA_1			
AHECGBEH_01889	CDS	456				Putative universal stress protein
AHECGBEH_01889	gene	456				
AHECGBEH_01890	CDS	2847				RNA polymerase-associated protein RapA
AHECGBEH_01890	gene	2847				
AHECGBEH_01891	CDS	309				hypothetical protein
AHECGBEH_01891	gene	309				
AHECGBEH_01892	CDS	603				hypothetical protein
AHECGBEH_01892	gene	603				
AHECGBEH_01893	CDS	162				hypothetical protein
AHECGBEH_01893	gene	162				
AHECGBEH_01894	CDS	114				hypothetical protein
AHECGBEH_01894	gene	114				
AHECGBEH_01895	CDS	1995	aaeB_2			p-hydroxybenzoic acid efflux pump subunit AaeB
AHECGBEH_01895	gene	1995	aaeB_2			
AHECGBEH_01896	CDS	204				hypothetical protein
AHECGBEH_01896	gene	204				
AHECGBEH_01897	CDS	858				secretion protein
AHECGBEH_01897	gene	858				
AHECGBEH_01898	CDS	1176				major facilitator superfamily transporter
AHECGBEH_01898	gene	1176				
AHECGBEH_01899	CDS	471	phaJ	4.2.1.119	COG2030	(R)-specific enoyl-CoA hydratase
AHECGBEH_01899	gene	471	phaJ			
AHECGBEH_01900	CDS	951		3.1.1.23	COG2267	Monoacylglycerol lipase
AHECGBEH_01900	gene	951				
AHECGBEH_01901	CDS	1689	fadD2			long-chain-fatty-acid--CoA ligase
AHECGBEH_01901	gene	1689	fadD2			
AHECGBEH_01902	CDS	1689	fadD1			long-chain-fatty-acid--CoA ligase
AHECGBEH_01902	gene	1689	fadD1			
AHECGBEH_01903	CDS	210				hypothetical protein
AHECGBEH_01903	gene	210				
AHECGBEH_01904	CDS	3981				ATP-dependent helicase
AHECGBEH_01904	gene	3981				
AHECGBEH_01905	CDS	1431	phoA			alkaline phosphatase
AHECGBEH_01905	gene	1431	phoA			
AHECGBEH_01906	CDS	438				HIT family protein
AHECGBEH_01906	gene	438				
AHECGBEH_01907	CDS	2067	vgrG1_2			type VI secretion system protein VgrG
AHECGBEH_01907	gene	2067	vgrG1_2			
AHECGBEH_01908	CDS	816				hypothetical protein
AHECGBEH_01908	gene	816				
AHECGBEH_01909	CDS	2124				hypothetical protein
AHECGBEH_01909	gene	2124				
AHECGBEH_01910	CDS	414				hypothetical protein
AHECGBEH_01910	gene	414				
AHECGBEH_01911	CDS	471				IS66 family transposase ISPpu30
AHECGBEH_01911	gene	471				
AHECGBEH_01912	CDS	516				hypothetical protein
AHECGBEH_01912	gene	516				
AHECGBEH_01913	CDS	1122				3-oxoacyl-ACP synthase
AHECGBEH_01913	gene	1122				
AHECGBEH_01914	CDS	612				ECF subfamily sigma-70 factor
AHECGBEH_01914	gene	612				
AHECGBEH_01915	CDS	240				hypothetical protein
AHECGBEH_01915	gene	240				
AHECGBEH_01916	CDS	315				hypothetical protein
AHECGBEH_01916	gene	315				
AHECGBEH_01917	CDS	855				hypothetical protein
AHECGBEH_01917	gene	855				
AHECGBEH_01918	CDS	735				hypothetical protein
AHECGBEH_01918	gene	735				
AHECGBEH_01919	CDS	591				hypothetical protein
AHECGBEH_01919	gene	591				
AHECGBEH_01920	CDS	1317	oprO			pyrophosphate-specific outer membrane porin OprO
AHECGBEH_01920	gene	1317	oprO			
AHECGBEH_01921	CDS	1323	oprP			phosphate-specific outer membrane porin OprP
AHECGBEH_01921	gene	1323	oprP			
AHECGBEH_01922	CDS	300				hypothetical protein
AHECGBEH_01922	gene	300				
AHECGBEH_01923	CDS	813				short-chain dehydrogenase
AHECGBEH_01923	gene	813				
AHECGBEH_01924	CDS	423				hypothetical protein
AHECGBEH_01924	gene	423				
AHECGBEH_01925	CDS	330				hypothetical protein
AHECGBEH_01925	gene	330				
AHECGBEH_01926	CDS	288				hypothetical protein
AHECGBEH_01926	gene	288				
AHECGBEH_01927	CDS	384				hypothetical protein
AHECGBEH_01927	gene	384				
AHECGBEH_01928	CDS	4350				ATP-dependent DNA helicase
AHECGBEH_01928	gene	4350				
AHECGBEH_01929	CDS	3480				two-component sensor
AHECGBEH_01929	gene	3480				
AHECGBEH_01930	CDS	570				hypothetical protein
AHECGBEH_01930	gene	570				
AHECGBEH_01931	CDS	855				transcriptional regulator
AHECGBEH_01931	gene	855				
AHECGBEH_01932	CDS	2166				TonB-dependent receptor
AHECGBEH_01932	gene	2166				
AHECGBEH_01933	CDS	1875	lplT			Lysophospholipid transporter LplT
AHECGBEH_01933	gene	1875	lplT			
AHECGBEH_01934	CDS	210	capB			major cold shock protein CspA
AHECGBEH_01934	gene	210	capB			
AHECGBEH_01935	CDS	315				transporter
AHECGBEH_01935	gene	315				
AHECGBEH_01936	CDS	936				transporter
AHECGBEH_01936	gene	936				
AHECGBEH_01937	CDS	921				recombination associated protein RdgC
AHECGBEH_01937	gene	921				
AHECGBEH_01938	tRNA	76				tRNA-Val(tac)
AHECGBEH_01938	gene	76				
AHECGBEH_01939	tRNA	77				tRNA-Asp(gtc)
AHECGBEH_01939	gene	77				
AHECGBEH_01940	CDS	762				FkbP-type peptidyl-prolyl cis-trans isomerase
AHECGBEH_01940	gene	762				
AHECGBEH_01941	CDS	432				hypothetical protein
AHECGBEH_01941	gene	432				
AHECGBEH_01942	CDS	747				hypothetical protein
AHECGBEH_01942	gene	747				
AHECGBEH_01943	CDS	312				transcriptional regulator
AHECGBEH_01943	gene	312				
AHECGBEH_01944	CDS	366				hypothetical protein
AHECGBEH_01944	gene	366				
AHECGBEH_01945	CDS	480				hypothetical protein
AHECGBEH_01945	gene	480				
AHECGBEH_01946	CDS	1749				hypothetical protein
AHECGBEH_01946	gene	1749				
AHECGBEH_01947	CDS	2130	prc			tail-specific protease
AHECGBEH_01947	gene	2130	prc			
AHECGBEH_01948	CDS	963				oxidoreductase
AHECGBEH_01948	gene	963				
AHECGBEH_01949	CDS	651		3.1.3.-	COG0560	putative phosphatase
AHECGBEH_01949	gene	651				
AHECGBEH_01950	CDS	996				ABC transporter ATP-binding protein
AHECGBEH_01950	gene	996				
AHECGBEH_01951	CDS	798				ABC transporter permease
AHECGBEH_01951	gene	798				
AHECGBEH_01952	CDS	840				ABC transporter permease
AHECGBEH_01952	gene	840				
AHECGBEH_01953	CDS	810				hypothetical protein
AHECGBEH_01953	gene	810				
AHECGBEH_01954	CDS	1059				hypothetical protein
AHECGBEH_01954	gene	1059				
AHECGBEH_01955	CDS	717				transcriptional regulator
AHECGBEH_01955	gene	717				
AHECGBEH_01956	CDS	552	rimJ_1			ribosomal protein alanine acetyltransferase
AHECGBEH_01956	gene	552	rimJ_1			
AHECGBEH_01957	CDS	1290				aminopeptidase
AHECGBEH_01957	gene	1290				
AHECGBEH_01958	CDS	636	rluA			pseudouridine synthase
AHECGBEH_01958	gene	636	rluA			
AHECGBEH_01959	CDS	255	minE			cell division topological specificity factor MinE
AHECGBEH_01959	gene	255	minE			
AHECGBEH_01960	CDS	816	minD			cell division inhibitor MinD
AHECGBEH_01960	gene	816	minD			
AHECGBEH_01961	CDS	792	minC			septum formation inhibitor
AHECGBEH_01961	gene	792	minC			
AHECGBEH_01962	CDS	939				lipid A biosynthesis lauroyl acyltransferase
AHECGBEH_01962	gene	939				
AHECGBEH_01963	CDS	1170				hypothetical protein
AHECGBEH_01963	gene	1170				
AHECGBEH_01964	CDS	858				quercetin 2,3-dioxygenase
AHECGBEH_01964	gene	858				
AHECGBEH_01965	CDS	804				hypothetical protein
AHECGBEH_01965	gene	804				
AHECGBEH_01966	CDS	1362				hypothetical protein
AHECGBEH_01966	gene	1362				
AHECGBEH_01967	CDS	222				hypothetical protein
AHECGBEH_01967	gene	222				
AHECGBEH_01968	CDS	858				glycine betaine-binding protein
AHECGBEH_01968	gene	858				
AHECGBEH_01969	CDS	312	yjcH_1		COG3162	Inner membrane protein YjcH
AHECGBEH_01969	gene	312	yjcH_1			
AHECGBEH_01970	CDS	1656				acetate permease
AHECGBEH_01970	gene	1656				
AHECGBEH_01971	CDS	1800				hypothetical protein
AHECGBEH_01971	gene	1800				
AHECGBEH_01972	CDS	627				DNA polymerase III subunit epsilon
AHECGBEH_01972	gene	627				
AHECGBEH_01973	CDS	159				hypothetical protein
AHECGBEH_01973	gene	159				
AHECGBEH_01974	CDS	1017				transposase
AHECGBEH_01974	gene	1017				
AHECGBEH_01975	CDS	1125				hypothetical protein
AHECGBEH_01975	gene	1125				
AHECGBEH_01976	CDS	267				hypothetical protein
AHECGBEH_01976	gene	267				
AHECGBEH_01977	CDS	1860				ABC transporter ATP-binding protein/permease
AHECGBEH_01977	gene	1860				
AHECGBEH_01978	CDS	564	ppiA			peptidyl-prolyl cis-trans isomerase A
AHECGBEH_01978	gene	564	ppiA			
AHECGBEH_01979	CDS	828				hydrolase
AHECGBEH_01979	gene	828				
AHECGBEH_01980	CDS	930				transcriptional regulator
AHECGBEH_01980	gene	930				
AHECGBEH_01981	CDS	318				hypothetical protein
AHECGBEH_01981	gene	318				
AHECGBEH_01982	CDS	642	azoR3			FMN-dependent NADH-azoreductase
AHECGBEH_01982	gene	642	azoR3			
AHECGBEH_01983	CDS	900				hypothetical protein
AHECGBEH_01983	gene	900				
AHECGBEH_01984	CDS	336	csaA			molecular chaperone CsaA
AHECGBEH_01984	gene	336	csaA			
AHECGBEH_01985	CDS	765				transcriptional regulator
AHECGBEH_01985	gene	765				
AHECGBEH_01986	CDS	813	lpxH	3.6.1.54		UDP-2,3-diacylglucosamine hydrolase
AHECGBEH_01986	gene	813	lpxH			
AHECGBEH_01987	CDS	1056				glycosyl transferase family protein
AHECGBEH_01987	gene	1056				
AHECGBEH_01988	CDS	1341	cyaB			protein CyaB
AHECGBEH_01988	gene	1341	cyaB			
AHECGBEH_01989	CDS	318				hypothetical protein
AHECGBEH_01989	gene	318				
AHECGBEH_01990	CDS	996				transcriptional regulator
AHECGBEH_01990	gene	996				
AHECGBEH_01991	CDS	645				hypothetical protein
AHECGBEH_01991	gene	645				
AHECGBEH_01992	CDS	939				hypothetical protein
AHECGBEH_01992	gene	939				
AHECGBEH_01993	CDS	795				ABC transporter ATP-binding protein
AHECGBEH_01993	gene	795				
AHECGBEH_01994	CDS	1146				ABC transporter permease
AHECGBEH_01994	gene	1146				
AHECGBEH_01995	CDS	1455	trkH			potassium uptake protein TrkH
AHECGBEH_01995	gene	1455	trkH			
AHECGBEH_01996	CDS	372				hypothetical protein
AHECGBEH_01996	gene	372				
